"V1","dec1"
"9242","N"
"9258","N"
"9269","Y"
"9334","N"
"9339","N"
"9381","N"
"9416","N"
"9472","N"
"9531","N"
"9629","N"
"9644","N"
"9739","N"
"9747","N"
"9786","Y"
"9795","Y"
"9809","N"
"9812","N"
"9846","Y"
"9996","N"
"10108","N"
"10153","N"
"10264","N"
"10285","N"
"10310","N"
"10357","N"
"10360","Y"
"10456","Y"
"10678","N"
"10714","N"
"10727","Y"
"10907","Y"
"10929","N"
"11068","Y"
"11088","Y"
"11284","N"
"11421","Y"
"11656","N"
"11664","N"
"11719","N"
"11790","N"
"11805","Y"
"11882","N"
"12028","N"
"12059","N"
"12166","N"
"12301","Y"
"12446","Y"
"12466","N"
"12471","Y"
"12483","N"
"12637","N"
"12874","N"
"12918","N"
"12984","N"
"12994","N"
"12999","N"
"13032","N"
"13113","N"
"13115","N"
"13134","N"
"13139","N"
"13241","Y"
"13304","Y"
"13383","Y"
"13484","Y"
"13504","N"
"13561","N"
"13581","N"
"13618","N"
"13666","Y"
"13675","N"
"13860","N"
"13883","N"
"13905","N"
"14000","N"
"14071","Y"
"14126","N"
"14194","Y"
"14265","N"
"14311","Y"
"14337","Y"
"14399","Y"
"14405","N"
"14457","N"
"14470","N"
"14489","N"
"14572","Y"
"14678","Y"
"14701","N"
"14723","Y"
"14738","Y"
"14811","N"
"14912","N"
"14938","N"
"15014","N"
"15035","N"
"15083","Y"
"15183","N"
"15197","N"
"15199","N"
"15247","N"
"15249","N"
"15290","N"
"15291","N"
"15313","N"
"15314","N"
"15347","N"
"15362","N"
"15377","Y"
"15492","N"
"15560","N"
"15622","N"
"15635","Y"
"15640","Y"
"15691","N"
"15752","N"
"15830","N"
"15833","N"
"15900","N"
"15931","N"
"15947","N"
"15970","N"
"15987","N"
"15991","Y"
"16106","Y"
"16243","N"
"16421","Y"
"16430","N"
"16438","N"
"16516","N"
"16545","N"
"16554","Y"
"16671","N"
"16691","Y"
"16786","N"
"16876","N"
"16891","N"
"16999","N"
"17213","N"
"17276","N"
"17309","N"
"17400","N"
"17402","Y"
"17415","N"
"17433","N"
"17443","Y"
"17492","Y"
"17551","N"
"17571","N"
"17575","N"
"17601","N"
"17626","N"
"17642","N"
"17676","N"
"17731","Y"
"17976","N"
"18008","Y"
"18042","N"
"18046","N"
"18163","N"
"18255","N"
"18256","Y"
"18296","N"
"18345","N"
"18431","Y"
"18433","N"
"18486","Y"
"18487","Y"
"18501","N"
"18513","N"
"18560","N"
"18579","Y"
"18617","N"
"18701","N"
"18725","N"
"18788","N"
"18818","N"
"18857","N"
"18937","N"
"19043","N"
"19078","N"
"19136","N"
"19225","Y"
"19236","Y"
"19254","Y"
"19293","N"
"19318","N"
"19357","N"
"19361","N"
"19366","N"
"19380","N"
"19392","N"
"19422","N"
"19514","N"
"19622","N"
"19630","N"
"19636","N"
"19741","N"
"19814","N"
"19903","Y"
"19967","N"
"19996","N"
"20007","N"
"20014","N"
"20042","N"
"20185","N"
"20495","Y"
"20575","Y"
"20618","N"
"20659","Y"
"20699","N"
"20717","N"
"20754","N"
"20788","N"
"20817","Y"
"20829","N"
"20915","Y"
"21036","N"
"21150","N"
"21156","N"
"21179","N"
