"","cat1","cat2","cat3","cat4","cat5","cat6","cat7","prodname","vendor","ASIN","price","weight_lb","dim1_in","dim2_in","dim3_in","rating"
"1132","Baby Products","Nursery","Bedding","Baby Bedding","Playard Bedding",NA,NA,"American Baby Company Waterproof Fitted Pack N Play Playard Protective Mattress Pad Cover, White (1 Count) , for Boys and Girls","American Ba Company","B06ZZ6P69V",12.8,NA,NA,NA,NA,0.6
"1134","Baby Products","Nursery","Bedding","Baby Bedding","Crib Bedding","Mattress Pads",NA,"American Baby Company Waterproof Embossed Quilt-Like Flat Crib Protective Mattress Pad Cover, White","American Ba Company","B00STTPYUU",10.23,NA,NA,NA,NA,0.0818181818181818
"1135","Baby Products","Nursery","Bedding","Mattresses","Crib Mattresses",NA,NA,"American Baby Company Printed 100% Cotton Jersey Knit Fitted Crib Sheet for Standard Crib and Toddler Mattresses, Grey Stars and Moon, for Boys and Girls","American Ba Company","B06XPFN5D1",7.99,NA,NA,NA,NA,0.25
"1136","Baby Products","Feeding","Bottle-Feeding","Warmers & Sterilizers",NA,NA,NA,"Dr. Brown's Deluxe Baby Bottle Warmer","Dr. Brown's","B0035LLG2W",30.3,NA,NA,NA,NA,0.0818181818181818
"1137","Baby Products","Feeding","Bottle-Feeding","Warmers & Sterilizers",NA,NA,NA,"The First Years 2-in-1 Simple Serve Bottle Warmer | Quickly Warm Bottles of Breastmilk or Formula | Sanitize Pacifiers | Compact Design | Holds Wide Narrow and Angled Bottles","The First Years","B00005BXKM",15.45,NA,NA,NA,NA,0.0818181818181818
"1138","Baby Products","Feeding","Bottle-Feeding","Warmers & Sterilizers",NA,NA,NA,"Kiinde Kozii Baby Bottle Warmer and Breast Milk Warmer for Warming Breast Milk, Infant Formula and Baby Food","Kiinde","B005G3QSF2",33.94,NA,NA,NA,NA,0.0818181818181818
"1139","Baby Products","Feeding","Bottle-Feeding","Warmers & Sterilizers",NA,NA,NA,"Bubos Smart Baby Bottle Warmer with Backlit LCD Real Time Display","B Bubos","B07F56VTPM",22.99,NA,NA,NA,NA,0.0818181818181818
"1140","Electronics","Camera & Photo",NA,NA,NA,NA,NA,"Infant Optics Wide Angle Lens For DXR-8","Infant Optics","B00ECI1JM4",11.98,NA,NA,NA,NA,0.0818181818181818
"1141","Electronics","Camera & Photo","Video Surveillance","Surveillance Systems",NA,NA,NA,"Baby Monitor with Remote Pan-Tilt-Zoom Camera and 3.2'' LCD Screen, Infrared Night Vision","Hello Ba-US","B07N428WP1",89.99,NA,NA,NA,NA,0.0818181818181818
"1142","Baby Products","Safety","Monitors",NA,NA,NA,NA,"Baby Monitor, VAVA 720P 5"" HD Display Video Baby Monitor with Camera and Audio, IPS Screen, 900ft Range, 4500 mAh Battery, Two-Way Audio, One-Click Zoom, Night Vision and Thermal Monitor","VAVA","B07QGJQ775",159.99,NA,NA,NA,NA,0.0818181818181818
